sample,Library_genotype,StudyName,genotype,SampleID,Lane,Processing,Type,Biopsy_type,Tissue_sampled,Spatial_location,Ectopic_group,Group,BiopsyType_old,Tissue,Treatment,10x kit,Donor,multiplexed,hashing,genotyped,discard_lowQC,QC,comments
4861STDY7387181,4861STDY7387181_A13,Garcia_Alonso,A13,4861STDY7387181,100,Fresh,Cells,Whole_Uterus,eutopic_endometrium,N/A,N/A,Ctrl_whole_uterus,Organ_Donor,EN_enrich,Coll.+Trypsin,3' v3.0,A13,no,no,no,no,,
4861STDY7387182,4861STDY7387182_A13,Garcia_Alonso,A13,4861STDY7387182,100,Fresh,Cells,Whole_Uterus,eutopic_endometrium,N/A,N/A,Ctrl_whole_uterus,Organ_Donor,EN_enrich,Coll.+Trypsin,3' v3.0,A13,no,no,no,no,,
4861STDY7387183,4861STDY7387183_A13,Garcia_Alonso,A13,4861STDY7387183,100,Fresh,Cells,Whole_Uterus,myometrium,,N/A,Ctrl_whole_uterus,Organ_Donor,Myometrium,Coll.+Trypsin,3' v3.0,A13,no,no,no,no,,
4861STDY7387184,4861STDY7387184_A14,Garcia_Alonso,A14,4861STDY7387184,100,Fresh,Cells,Whole_Uterus,eutopic_endometrium,N/A,N/A,Ctrl_whole_uterus,Organ_Donor,EN,Coll.+Trypsin,3' v3.0,A14,no,no,no,no,,
4861STDY7387185,4861STDY7387185_A14,Garcia_Alonso,A14,4861STDY7387185,100,Fresh,Cells,Whole_Uterus,eutopic_endometrium,N/A,N/A,Ctrl_whole_uterus,Organ_Donor,EN,Coll.+Trypsin,3' v3.0,A14,no,no,no,no,,
4861STDY7387186,4861STDY7387186_A14,Garcia_Alonso,A14,4861STDY7387186,100,Fresh,Cells,Whole_Uterus,myometrium,,N/A,Ctrl_whole_uterus,Organ_Donor,Myometrium,Coll.+Trypsin,3' v3.0,A14,no,no,no,no,,
4861STDY7462245,4861STDY7462245_A16,Garcia_Alonso,A16,4861STDY7462245,100,Fresh,Cells,Whole_Uterus,eutopic_endometrium,N/A,N/A,Ctrl_whole_uterus,Organ_Donor,EN_enrich,Collagenase,3' v2.0,A16,no,no,no,no,,
4861STDY7462246,4861STDY7462246_A16,Garcia_Alonso,A16,4861STDY7462246,100,Fresh,Cells,Whole_Uterus,eutopic_endometrium,N/A,N/A,Ctrl_whole_uterus,Organ_Donor,EN_enrich,Collagenase,3' v2.0,A16,no,no,no,no,,
4861STDY7462247,4861STDY7462247_A16,Garcia_Alonso,A16,4861STDY7462247,100,Fresh,Cells,Whole_Uterus,eutopic_endometrium,N/A,N/A,Ctrl_whole_uterus,Organ_Donor,EN_enrich,Collagenase,3' v2.0,A16,no,no,no,no,,
4861STDY7462248,4861STDY7462248_A16,Garcia_Alonso,A16,4861STDY7462248,100,Fresh,Cells,Whole_Uterus,myometrium,,N/A,Ctrl_whole_uterus,Organ_Donor,Myometrium,Collagenase,3' v2.0,A16,no,no,no,no,,
